Temperature,Cp,Cv,gamma,h
200,1.003,0.716,1.4008,200.6
210,1.003,0.716,1.4008,210.6
220,1.003,0.716,1.4008,220.7
230,1.003,0.716,1.4008,230.7
240,1.004,0.717,1.4003,241
250,1.004,0.717,1.4003,251
260,1.004,0.717,1.4003,261
270,1.005,0.718,1.3997,271.4
280,1.005,0.718,1.3997,281.4
290,1.005,0.718,1.3997,291.5
300,1.005,0.718,1.3997,301.5
310,1.006,0.719,1.3992,311.9
320,1.007,0.72,1.3986,322.2
330,1.007,0.72,1.3986,332.3
340,1.008,0.721,1.3981,342.7
350,1.008,0.721,1.3981,352.8
360,1.009,0.722,1.3975,363.2
370,1.009,0.722,1.3975,373.3
380,1.01,0.723,1.397,383.8
390,1.011,0.724,1.3964,394.3
400,1.013,0.726,1.3953,405.2
410,1.015,0.728,1.3942,415.8
420,1.017,0.73,1.3932,427.1
430,1.018,0.731,1.3926,438
440,1.019,0.732,1.3921,448.4
450,1.02,0.733,1.3915,459
460,1.022,0.735,1.3905,470.1
470,1.024,0.737,1.3894,481.3
480,1.026,0.739,1.3884,492.5
490,1.027,0.74,1.3878,503.2
500,1.029,0.742,1.3868,514.5
510,1.031,0.744,1.3858,525.8
520,1.033,0.746,1.3847,537.2
530,1.035,0.748,1.3837,548.6
540,1.037,0.75,1.3827,559.9
550,1.039,0.752,1.3816,571.5
560,1.041,0.754,1.3806,583
570,1.043,0.756,1.3796,594.5
580,1.045,0.758,1.3786,606.1
590,1.046,0.759,1.3781,617.1
600,1.047,0.76,1.3776,628.2
610,1.047,0.76,1.3776,628.2
620,1.048,0.761,1.3771,639
630,1.048,0.762,1.3753,649.8
640,1.049,0.762,1.3766,660.6
650,1.05,0.762,1.378,671.4
660,1.05,0.763,1.3761,682.2
670,1.05,0.764,1.3743,693
680,1.051,0.764,1.3757,703.8
690,1.052,0.764,1.377,714.7
700,1.052,0.765,1.3752,725.5
710,1.053,0.766,1.3747,736.4
720,1.053,0.766,1.3747,747.3
730,1.054,0.767,1.3742,758.3
740,1.054,0.767,1.3742,769.3
750,1.055,0.768,1.3737,780.3
760,1.056,0.769,1.3732,791.2
770,1.056,0.769,1.3732,802.3
780,1.057,0.77,1.3727,813.3
790,1.057,0.77,1.3727,824.3
800,1.058,0.771,1.3722,835.3
810,1.059,0.772,1.3718,846.4
820,1.059,0.772,1.3718,857.5
830,1.06,0.773,1.3713,868.7
840,1.061,0.774,1.3708,879.9
850,1.062,0.774,1.3721,891.1
860,1.062,0.775,1.3703,902.3
870,1.063,0.776,1.3698,913.5
880,1.064,0.777,1.3694,924.7
890,1.064,0.777,1.3694,936
900,1.065,0.778,1.3689,947.2
910,1.066,0.779,1.3684,958.5
920,1.066,0.779,1.3684,969.8
930,1.067,0.78,1.3679,981.1
940,1.068,0.781,1.3675,992.4
950,1.068,0.782,1.3657,1003.7
960,1.069,0.782,1.367,1015.1
970,1.07,0.783,1.3665,1026.4
980,1.071,0.784,1.3661,1037.8
990,1.071,0.784,1.3661,1049.2
1000,1.072,0.785,1.3656,1060.6
1010,1.073,0.786,1.3651,1072
1020,1.074,0.787,1.3647,1083.7
1030,1.075,0.788,1.3642,1095.5
1040,1.076,0.789,1.3638,1107.2
1050,1.077,0.79,1.3633,1119
1060,1.078,0.791,1.3628,1130.8
1070,1.079,0.792,1.3624,1142.7
1080,1.08,0.793,1.3619,1154.5
1090,1.081,0.794,1.3615,1166.4
1100,1.082,0.795,1.361,1178.3
1110,1.083,0.796,1.3606,1190.2
1120,1.084,0.797,1.3601,1202.1
1130,1.085,0.798,1.3596,1214.1
1140,1.086,0.799,1.3592,1226
1150,1.087,0.8,1.3588,1238
1160,1.088,0.801,1.3583,1250
1170,1.089,0.802,1.3579,1262.1
1180,1.09,0.803,1.3574,1274.1
1190,1.091,0.804,1.357,1286.2
1200,1.092,0.805,1.3565,1298.3
1210,1.093,0.806,1.3561,1310.4
1220,1.094,0.807,1.3556,1322.7
1230,1.095,0.808,1.3552,1334.9
1240,1.096,0.809,1.3548,1347.2
1250,1.098,0.81,1.3556,1359.5
1260,1.099,0.812,1.3534,1371.9
1270,1.1,0.813,1.353,1384.2
1280,1.101,0.814,1.3526,1396.6
1290,1.102,0.815,1.3521,1409
1300,1.103,0.816,1.3517,1421.5
1310,1.104,0.817,1.3513,1433.9
1320,1.105,0.818,1.3509,1446.4
1330,1.106,0.819,1.3504,1458.9
1340,1.107,0.82,1.35,1471.4
1350,1.108,0.821,1.3496,1483.9
1360,1.11,0.823,1.3487,1496.5
1370,1.111,0.824,1.3483,1509.1
1380,1.112,0.825,1.3479,1521.7
1390,1.113,0.826,1.3475,1534.3
1400,1.114,0.827,1.347,1546.9
1410,1.115,0.828,1.3466,1559.6
1420,1.116,0.829,1.3462,1572.4
1430,1.118,0.831,1.3454,1585.3
1440,1.119,0.832,1.345,1598.2
1450,1.12,0.833,1.3445,1611.1
1460,1.121,0.834,1.3441,1624
1470,1.122,0.835,1.3437,1637
1480,1.124,0.837,1.3429,1649.9
1490,1.125,0.838,1.3425,1662.9
1500,1.126,0.839,1.3421,1676
